"isono","year","sexno","ageno","eduno","macb"
332,2030,2,0,2,29.2
340,2030,2,0,2,26.8
344,2030,2,0,2,33.1
348,2030,2,0,2,32.5
356,2030,2,0,2,25.8
364,2030,2,0,2,28.1
368,2030,2,0,2,27.7
372,2030,2,0,2,31.9
376,2030,2,0,2,29.5
380,2030,2,0,2,32.7
384,2030,2,0,2,27.3
388,2030,2,0,2,26.3
400,2030,2,0,2,28.5
404,2030,2,0,2,26.6
414,2030,2,0,2,29.2
417,2030,2,0,2,27.3
418,2030,2,0,2,28.7
422,2030,2,0,2,29.3
428,2030,2,0,2,31.6
430,2030,2,0,2,27.7
440,2030,2,0,2,31.9
442,2030,2,0,2,30.5
446,2030,2,0,2,31.7
458,2030,2,0,2,30.8
462,2030,2,0,2,28.7
466,2030,2,0,2,26.8
480,2030,2,0,2,29.4
496,2030,2,0,2,29
498,2030,2,0,2,28.1
499,2030,2,0,2,30.6
504,2030,2,0,2,32.2
508,2030,2,0,2,26.2
516,2030,2,0,2,28.7
524,2030,2,0,2,25.4
528,2030,2,0,2,32.1
530,2030,2,0,2,28.9
554,2030,2,0,2,30.9
558,2030,2,0,2,25.8
562,2030,2,0,2,26.6
586,2030,2,0,2,28.1
600,2030,2,0,2,27.6
604,2030,2,0,2,29.5
608,2030,2,0,2,27.8
616,2030,2,0,2,32.4
620,2030,2,0,2,31.6
624,2030,2,0,2,27.6
630,2030,2,0,2,27.1
642,2030,2,0,2,29.5
643,2030,2,0,2,29.3
