"isono","year","sexno","ageno","eduno","ryl15"
124,2085,0,0,0,84.7
124,2090,0,0,0,85.8
124,2095,0,0,0,86.9
132,2010,0,0,0,66
132,2015,0,0,0,66.9
132,2020,0,0,0,67.8
132,2025,0,0,0,68.6
132,2030,0,0,0,69.4
132,2035,0,0,0,70
132,2040,0,0,0,70.6
132,2045,0,0,0,71.3
132,2050,0,0,0,72.2
132,2055,0,0,0,73
132,2060,0,0,0,73.8
132,2065,0,0,0,74.6
132,2070,0,0,0,75.4
132,2075,0,0,0,76.4
132,2080,0,0,0,77.2
132,2085,0,0,0,78.2
132,2090,0,0,0,79.1
132,2095,0,0,0,80.1
140,2010,0,0,0,60.9
140,2015,0,0,0,61.3
140,2020,0,0,0,61.4
140,2025,0,0,0,61.7
140,2030,0,0,0,61.8
140,2035,0,0,0,62
140,2040,0,0,0,62.5
140,2045,0,0,0,62.6
140,2050,0,0,0,62.9
140,2055,0,0,0,63.6
140,2060,0,0,0,63.9
140,2065,0,0,0,64.3
140,2070,0,0,0,64.7
140,2075,0,0,0,65
140,2080,0,0,0,65.5
140,2085,0,0,0,66.3
140,2090,0,0,0,67
140,2095,0,0,0,67.9
144,2010,0,0,0,67.7
144,2015,0,0,0,68.4
144,2020,0,0,0,68.9
144,2025,0,0,0,69.6
144,2030,0,0,0,70.3
144,2035,0,0,0,71.1
144,2040,0,0,0,71.9
144,2045,0,0,0,72.7
144,2050,0,0,0,73.5
144,2055,0,0,0,74.2
144,2060,0,0,0,74.9
144,2065,0,0,0,75.8
144,2070,0,0,0,76.6
144,2075,0,0,0,77.5
144,2080,0,0,0,78.4
144,2085,0,0,0,79.3
144,2090,0,0,0,80.1
144,2095,0,0,0,81
148,2010,0,0,0,60
148,2015,0,0,0,60.3
148,2020,0,0,0,60.5
148,2025,0,0,0,61.1
148,2030,0,0,0,61.2
148,2035,0,0,0,61.4
148,2040,0,0,0,61.8
148,2045,0,0,0,62
148,2050,0,0,0,62.4
148,2055,0,0,0,63
148,2060,0,0,0,63.3
148,2065,0,0,0,63.6
148,2070,0,0,0,64
148,2075,0,0,0,64.4
148,2080,0,0,0,64.9
148,2085,0,0,0,65.6
148,2090,0,0,0,66.2
148,2095,0,0,0,66.9
152,2010,0,0,0,71.3
152,2015,0,0,0,72.4
152,2020,0,0,0,73.3
152,2025,0,0,0,74.2
152,2030,0,0,0,75.1
152,2035,0,0,0,75.9
152,2040,0,0,0,76.8
152,2045,0,0,0,77.6
152,2050,0,0,0,78.4
152,2055,0,0,0,79.3
152,2060,0,0,0,80.1
152,2065,0,0,0,81.1
152,2070,0,0,0,82
152,2075,0,0,0,82.9
152,2080,0,0,0,83.7
152,2085,0,0,0,84.6
152,2090,0,0,0,85.6
152,2095,0,0,0,86.7
156,2010,0,0,0,65.6
156,2015,0,0,0,66.5
156,2020,0,0,0,67.2
156,2025,0,0,0,68
156,2030,0,0,0,68.8
156,2035,0,0,0,69.5
156,2040,0,0,0,70.2
156,2045,0,0,0,71.1
156,2050,0,0,0,71.9
156,2055,0,0,0,72.7
156,2060,0,0,0,73.5
156,2065,0,0,0,74.3
156,2070,0,0,0,75.1
156,2075,0,0,0,75.9
156,2080,0,0,0,76.7
156,2085,0,0,0,77.6
156,2090,0,0,0,78.5
156,2095,0,0,0,79.4
170,2010,0,0,0,68.4
170,2015,0,0,0,69.2
170,2020,0,0,0,70
170,2025,0,0,0,70.8
170,2030,0,0,0,71.7
170,2035,0,0,0,72.4
170,2040,0,0,0,73.1
170,2045,0,0,0,73.9
170,2050,0,0,0,74.7
170,2055,0,0,0,75.5
170,2060,0,0,0,76.3
170,2065,0,0,0,77.2
170,2070,0,0,0,78
170,2075,0,0,0,78.8
170,2080,0,0,0,79.6
170,2085,0,0,0,80.4
170,2090,0,0,0,81.3
170,2095,0,0,0,82.2
174,2010,0,0,0,61.2
174,2015,0,0,0,61
174,2020,0,0,0,61.5
174,2025,0,0,0,61.3
174,2030,0,0,0,61.8
174,2035,0,0,0,62
174,2040,0,0,0,62.2
174,2045,0,0,0,62.5
174,2050,0,0,0,62.5
174,2055,0,0,0,63
174,2060,0,0,0,63.3
174,2065,0,0,0,63.7
174,2070,0,0,0,64.3
174,2075,0,0,0,64.8
