"isono","year","sexno","ageno","eduno","ggapedu25"
12,2075,0,0,5,1.28
12,2075,0,0,6,1.12
12,2075,0,0,7,0.72
12,2080,0,0,0,NA
12,2080,0,0,1,NA
12,2080,0,0,2,0.39
12,2080,0,0,3,1.06
12,2080,0,0,4,0.81
12,2080,0,0,5,1.28
12,2080,0,0,6,1.12
12,2080,0,0,7,0.72
12,2085,0,0,0,NA
12,2085,0,0,1,NA
12,2085,0,0,2,0.39
12,2085,0,0,3,1.06
12,2085,0,0,4,0.81
12,2085,0,0,5,1.28
12,2085,0,0,6,1.12
12,2085,0,0,7,0.72
12,2090,0,0,0,NA
12,2090,0,0,1,NA
12,2090,0,0,2,0.39
12,2090,0,0,3,1.07
12,2090,0,0,4,0.81
12,2090,0,0,5,1.28
12,2090,0,0,6,1.12
12,2090,0,0,7,0.72
12,2095,0,0,0,NA
12,2095,0,0,1,NA
12,2095,0,0,2,0.39
12,2095,0,0,3,1.07
12,2095,0,0,4,0.81
12,2095,0,0,5,1.28
12,2095,0,0,6,1.13
12,2095,0,0,7,0.73
12,2100,0,0,0,NA
12,2100,0,0,1,NA
12,2100,0,0,2,0.39
12,2100,0,0,3,1.07
12,2100,0,0,4,0.81
12,2100,0,0,5,1.28
12,2100,0,0,6,1.13
12,2100,0,0,7,0.73
24,1970,0,0,0,NA
24,1970,0,0,1,NA
24,1970,0,0,2,0.57
24,1970,0,0,3,2.67
24,1970,0,0,4,5.11
24,1970,0,0,5,6.38
24,1970,0,0,6,12.13
24,1970,0,0,7,36.9
24,1975,0,0,0,NA
24,1975,0,0,1,NA
24,1975,0,0,2,0.53
24,1975,0,0,3,2.1
24,1975,0,0,4,3.7
24,1975,0,0,5,4.7
24,1975,0,0,6,7.75
24,1975,0,0,7,17.77
24,1980,0,0,0,NA
24,1980,0,0,1,NA
24,1980,0,0,2,0.5
24,1980,0,0,3,1.57
24,1980,0,0,4,2.83
24,1980,0,0,5,3.45
24,1980,0,0,6,6.88
24,1980,0,0,7,12.84
24,1985,0,0,0,NA
24,1985,0,0,1,NA
24,1985,0,0,2,0.47
24,1985,0,0,3,1.25
24,1985,0,0,4,2.02
24,1985,0,0,5,3.02
24,1985,0,0,6,4.84
24,1985,0,0,7,10.61
24,1990,0,0,0,NA
24,1990,0,0,1,NA
24,1990,0,0,2,0.45
24,1990,0,0,3,1.06
24,1990,0,0,4,1.6
24,1990,0,0,5,2.5
24,1990,0,0,6,3.66
24,1990,0,0,7,7.78
24,1995,0,0,0,NA
24,1995,0,0,1,NA
24,1995,0,0,2,0.43
24,1995,0,0,3,0.92
24,1995,0,0,4,1.38
24,1995,0,0,5,2.01
24,1995,0,0,6,3.28
24,1995,0,0,7,6.48
24,2000,0,0,0,NA
24,2000,0,0,1,NA
