"isono","year","sexno","ageno","eduno","nirate"
454,1975,0,0,0,31.8
454,1980,0,0,0,31.3
454,1985,0,0,0,30.4
454,1990,0,0,0,29.1
454,1995,0,0,0,27.5
454,2000,0,0,0,26.8
454,2005,0,0,0,30.3
458,1970,0,0,0,24.4
458,1975,0,0,0,23.1
458,1980,0,0,0,23.7
458,1985,0,0,0,23.4
458,1990,0,0,0,22.5
458,1995,0,0,0,20.6
458,2000,0,0,0,18.5
458,2005,0,0,0,16.3
462,1970,0,0,0,28.1
462,1975,0,0,0,28.3
462,1980,0,0,0,35.1
462,1985,0,0,0,34.8
462,1990,0,0,0,27.6
462,1995,0,0,0,19.6
462,2000,0,0,0,15.6
462,2005,0,0,0,13.5
466,1970,0,0,0,21.1
466,1975,0,0,0,23.6
466,1980,0,0,0,25.8
466,1985,0,0,0,27.4
466,1990,0,0,0,28.7
466,1995,0,0,0,30.5
466,2000,0,0,0,31.8
466,2005,0,0,0,32.1
470,1970,0,0,0,7.9
470,1975,0,0,0,10.5
470,1980,0,0,0,9.8
470,1985,0,0,0,9
470,1990,0,0,0,6.8
470,1995,0,0,0,4.4
470,2000,0,0,0,1.6
470,2005,0,0,0,1.1
474,1970,0,0,0,18.4
474,1975,0,0,0,11.2
474,1980,0,0,0,9.7
474,1985,0,0,0,10.8
474,1990,0,0,0,9.4
474,1995,0,0,0,8
474,2000,0,0,0,7.3
474,2005,0,0,0,5.2
478,1970,0,0,0,30.2
478,1975,0,0,0,30.4
478,1980,0,0,0,30.1
478,1985,0,0,0,29.7
478,1990,0,0,0,29
478,1995,0,0,0,27.6
478,2000,0,0,0,26.3
478,2005,0,0,0,24.8
480,1970,0,0,0,20
480,1975,0,0,0,19.8
480,1980,0,0,0,14.6
480,1985,0,0,0,15.6
480,1990,0,0,0,15.1
480,1995,0,0,0,11.6
480,2000,0,0,0,9.9
480,2005,0,0,0,6.6
484,1970,0,0,0,32.8
484,1975,0,0,0,28.8
484,1980,0,0,0,25.5
484,1985,0,0,0,23.5
484,1990,0,0,0,22
484,1995,0,0,0,18.8
484,2000,0,0,0,17.7
484,2005,0,0,0,15.9
496,1970,0,0,0,29.1
496,1975,0,0,0,26.5
496,1980,0,0,0,25.7
496,1985,0,0,0,25.9
496,1990,0,0,0,18
496,1995,0,0,0,13.8
496,2000,0,0,0,12.2
496,2005,0,0,0,16.9
498,1970,0,0,0,8.3
498,1975,0,0,0,9
498,1980,0,0,0,10
498,1985,0,0,0,11.1
498,1990,0,0,0,4.4
498,1995,0,0,0,1
498,2000,0,0,0,-1
498,2005,0,0,0,-1.2
499,1970,0,0,0,6.8
499,1975,0,0,0,6.1
499,1980,0,0,0,5.6
499,1985,0,0,0,5.1
499,1990,0,0,0,7.4
499,1995,0,0,0,6.8
499,2000,0,0,0,4.7
