"isono","year","sexno","ageno","eduno","pmage"
156,2015,0,0,0,35.6
156,2020,0,0,0,36.6
156,2025,0,0,0,38
156,2030,0,0,0,39.8
156,2035,0,0,0,41.6
156,2040,0,0,0,43.1
156,2045,0,0,0,44.1
156,2050,0,0,0,45
156,2055,0,0,0,45.7
156,2060,0,0,0,46
156,2065,0,0,0,46.3
156,2070,0,0,0,46.4
156,2075,0,0,0,46.3
156,2080,0,0,0,46
156,2085,0,0,0,45.5
156,2090,0,0,0,44.9
156,2095,0,0,0,44.3
170,2010,0,0,0,26.8
170,2015,0,0,0,27.3
170,2020,0,0,0,28
170,2025,0,0,0,28.8
170,2030,0,0,0,29.6
170,2035,0,0,0,30.4
170,2040,0,0,0,31.2
170,2045,0,0,0,31.9
170,2050,0,0,0,32.6
170,2055,0,0,0,33.3
170,2060,0,0,0,33.8
170,2065,0,0,0,34.3
170,2070,0,0,0,34.8
170,2075,0,0,0,35.3
170,2080,0,0,0,35.7
170,2085,0,0,0,36
170,2090,0,0,0,36.3
170,2095,0,0,0,36.5
174,2010,0,0,0,18.8
174,2015,0,0,0,18.7
174,2020,0,0,0,19
174,2025,0,0,0,20.3
174,2030,0,0,0,21.4
174,2035,0,0,0,22.8
174,2040,0,0,0,24.1
174,2045,0,0,0,25.2
174,2050,0,0,0,26.3
174,2055,0,0,0,27.2
174,2060,0,0,0,28.1
174,2065,0,0,0,29.1
174,2070,0,0,0,29.9
174,2075,0,0,0,30.8
174,2080,0,0,0,31.6
174,2085,0,0,0,32.1
174,2090,0,0,0,32.3
174,2095,0,0,0,32.4
175,2010,0,0,0,17.1
175,2015,0,0,0,16.3
175,2020,0,0,0,16.3
175,2025,0,0,0,16.9
175,2030,0,0,0,18.3
175,2035,0,0,0,19.6
175,2040,0,0,0,20.8
175,2045,0,0,0,21.3
175,2050,0,0,0,21.9
175,2055,0,0,0,22.7
175,2060,0,0,0,23.4
175,2065,0,0,0,24.3
175,2070,0,0,0,25.3
175,2075,0,0,0,26.3
175,2080,0,0,0,27.3
175,2085,0,0,0,28.1
175,2090,0,0,0,29
175,2095,0,0,0,29.7
178,2010,0,0,0,19.6
178,2015,0,0,0,19.2
178,2020,0,0,0,19.8
178,2025,0,0,0,20.3
178,2030,0,0,0,21.5
178,2035,0,0,0,22.7
178,2040,0,0,0,23.5
178,2045,0,0,0,24.7
178,2050,0,0,0,25.6
178,2055,0,0,0,26.3
178,2060,0,0,0,26.8
178,2065,0,0,0,27.4
178,2070,0,0,0,27.9
178,2075,0,0,0,28.3
178,2080,0,0,0,28.8
178,2085,0,0,0,29
178,2090,0,0,0,29.2
178,2095,0,0,0,29.4
180,2010,0,0,0,16.6
180,2015,0,0,0,16.4
180,2020,0,0,0,16.6
180,2025,0,0,0,16.7
180,2030,0,0,0,17
180,2035,0,0,0,17.7
180,2040,0,0,0,18.3
180,2045,0,0,0,19.2
180,2050,0,0,0,20.1
180,2055,0,0,0,20.9
180,2060,0,0,0,21.6
180,2065,0,0,0,22.5
180,2070,0,0,0,23.4
180,2075,0,0,0,24.2
180,2080,0,0,0,24.9
180,2085,0,0,0,25.5
180,2090,0,0,0,26.2
180,2095,0,0,0,26.3
188,2010,0,0,0,28.4
188,2015,0,0,0,29.7
188,2020,0,0,0,31.2
188,2025,0,0,0,32.7
188,2030,0,0,0,34.1
188,2035,0,0,0,35.5
188,2040,0,0,0,36.6
188,2045,0,0,0,37.5
188,2050,0,0,0,38
188,2055,0,0,0,38.4
188,2060,0,0,0,38.6
188,2065,0,0,0,38.8
188,2070,0,0,0,39.2
188,2075,0,0,0,39.5
188,2080,0,0,0,39.7
188,2085,0,0,0,40
188,2090,0,0,0,40
188,2095,0,0,0,40.3
191,2010,0,0,0,41.5
191,2015,0,0,0,41.6
191,2020,0,0,0,41.7
191,2025,0,0,0,42.2
191,2030,0,0,0,42.6
191,2035,0,0,0,43
191,2040,0,0,0,43.2
191,2045,0,0,0,43.3
191,2050,0,0,0,43.2
191,2055,0,0,0,42.7
191,2060,0,0,0,42.2
191,2065,0,0,0,41.9
191,2070,0,0,0,41.5
191,2075,0,0,0,41.2
191,2080,0,0,0,40.8
191,2085,0,0,0,40.4
191,2090,0,0,0,40
191,2095,0,0,0,39.6
192,2010,0,0,0,38.5
192,2015,0,0,0,40.5
192,2020,0,0,0,42.4
192,2025,0,0,0,43.6
192,2030,0,0,0,44.3
192,2035,0,0,0,45.4
192,2040,0,0,0,46.7
192,2045,0,0,0,48.1
192,2050,0,0,0,49.1
192,2055,0,0,0,49.8
192,2060,0,0,0,50.3
192,2065,0,0,0,50.6
192,2070,0,0,0,50.5
192,2075,0,0,0,50.3
192,2080,0,0,0,50.1
192,2085,0,0,0,50
192,2090,0,0,0,49.6
192,2095,0,0,0,49.1
196,2010,0,0,0,34.1
196,2015,0,0,0,34.6
196,2020,0,0,0,35.5
196,2025,0,0,0,36.5
196,2030,0,0,0,37.6
196,2035,0,0,0,38.6
196,2040,0,0,0,39.4
196,2045,0,0,0,39.9
196,2050,0,0,0,39.9
196,2055,0,0,0,39.9
196,2060,0,0,0,39.8
196,2065,0,0,0,39.7
196,2070,0,0,0,39.8
196,2075,0,0,0,40
196,2080,0,0,0,40.2
196,2085,0,0,0,40.2
196,2090,0,0,0,40.3
196,2095,0,0,0,40.3
203,2010,0,0,0,39.4
203,2015,0,0,0,39.2
203,2020,0,0,0,40
203,2025,0,0,0,40.8
203,2030,0,0,0,41.1
203,2035,0,0,0,41.1
203,2040,0,0,0,41.2
203,2045,0,0,0,40.8
203,2050,0,0,0,39.5
203,2055,0,0,0,38.7
203,2060,0,0,0,38.5
203,2065,0,0,0,38.3
203,2070,0,0,0,38.1
203,2075,0,0,0,37.7
203,2080,0,0,0,37.2
203,2085,0,0,0,36.7
203,2090,0,0,0,36.3
203,2095,0,0,0,36.2
204,2010,0,0,0,17.9
204,2015,0,0,0,17.5
204,2020,0,0,0,17.7
204,2025,0,0,0,17.9
204,2030,0,0,0,18.8
204,2035,0,0,0,19.7
204,2040,0,0,0,20.7
204,2045,0,0,0,21.9
204,2050,0,0,0,23
204,2055,0,0,0,24
204,2060,0,0,0,25
204,2065,0,0,0,25.7
204,2070,0,0,0,26.5
204,2075,0,0,0,27.1
204,2080,0,0,0,27.7
204,2085,0,0,0,28.3
204,2090,0,0,0,28.6
204,2095,0,0,0,28.9
208,2010,0,0,0,40.6
208,2015,0,0,0,40.5
208,2020,0,0,0,40.1
208,2025,0,0,0,38.9
208,2030,0,0,0,37.8
208,2035,0,0,0,37.2
208,2040,0,0,0,36.8
208,2045,0,0,0,36.2
208,2050,0,0,0,35.6
208,2055,0,0,0,34.7
208,2060,0,0,0,33.6
208,2065,0,0,0,32.8
208,2070,0,0,0,32.4
208,2075,0,0,0,32.3
208,2080,0,0,0,32.3
208,2085,0,0,0,32.1
208,2090,0,0,0,31.8
208,2095,0,0,0,31.3
214,2010,0,0,0,25.1
214,2015,0,0,0,25.7
214,2020,0,0,0,26.4
214,2025,0,0,0,27.3
214,2030,0,0,0,28
214,2035,0,0,0,28.8
214,2040,0,0,0,29.8
214,2045,0,0,0,30.8
214,2050,0,0,0,31.7
214,2055,0,0,0,32.5
214,2060,0,0,0,33.2
214,2065,0,0,0,33.9
214,2070,0,0,0,34.6
214,2075,0,0,0,35.2
214,2080,0,0,0,35.8
214,2085,0,0,0,36.3
214,2090,0,0,0,36.7
214,2095,0,0,0,37
218,2010,0,0,0,25.5
218,2015,0,0,0,26.3
218,2020,0,0,0,27.1
218,2025,0,0,0,28
218,2030,0,0,0,28.9
218,2035,0,0,0,29.9
218,2040,0,0,0,30.9
218,2045,0,0,0,31.9
218,2050,0,0,0,32.9
218,2055,0,0,0,33.7
218,2060,0,0,0,34.4
218,2065,0,0,0,35.1
218,2070,0,0,0,35.7
218,2075,0,0,0,36.2
218,2080,0,0,0,36.7
218,2085,0,0,0,37
218,2090,0,0,0,37.4
218,2095,0,0,0,37.7
222,2010,0,0,0,23.1
222,2015,0,0,0,23.8
222,2020,0,0,0,24.5
222,2025,0,0,0,25.6
222,2030,0,0,0,26.8
222,2035,0,0,0,27.9
222,2040,0,0,0,28.9
222,2045,0,0,0,30
222,2050,0,0,0,31.2
222,2055,0,0,0,32.3
222,2060,0,0,0,33.6
222,2065,0,0,0,34.6
222,2070,0,0,0,35.5
222,2075,0,0,0,36.1
222,2080,0,0,0,36.3
222,2085,0,0,0,36.4
222,2090,0,0,0,36.4
222,2095,0,0,0,36.2
226,2010,0,0,0,20.3
226,2015,0,0,0,20.4
226,2020,0,0,0,21
226,2025,0,0,0,21.5
226,2030,0,0,0,21.6
226,2035,0,0,0,22.5
226,2040,0,0,0,22.8
226,2045,0,0,0,23.5
226,2050,0,0,0,24.1
226,2055,0,0,0,24.6
226,2060,0,0,0,24.9
226,2065,0,0,0,25.3
226,2070,0,0,0,25.9
226,2075,0,0,0,26.4
226,2080,0,0,0,26.8
226,2085,0,0,0,27.2
226,2090,0,0,0,27.3
226,2095,0,0,0,27.5
231,2010,0,0,0,18.6
231,2015,0,0,0,18.8
231,2020,0,0,0,19.5
231,2025,0,0,0,19.7
231,2030,0,0,0,20.4
231,2035,0,0,0,21
231,2040,0,0,0,21.9
231,2045,0,0,0,23
231,2050,0,0,0,24.1
231,2055,0,0,0,25.1
231,2060,0,0,0,26
231,2065,0,0,0,26.9
231,2070,0,0,0,27.5
231,2075,0,0,0,28
231,2080,0,0,0,28.5
231,2085,0,0,0,28.9
231,2090,0,0,0,29.3
231,2095,0,0,0,29.6
232,2010,0,0,0,19
232,2015,0,0,0,18.2
232,2020,0,0,0,18.4
232,2025,0,0,0,18.9
