"isono","year","sexno","ageno","eduno","tdr"
72,1975,0,0,0,1
72,1980,0,0,0,0.96
72,1985,0,0,0,0.95
72,1990,0,0,0,0.9
72,1995,0,0,0,0.8
72,2000,0,0,0,0.69
72,2005,0,0,0,0.62
72,2010,0,0,0,0.58
72,2015,0,0,0,0.54
72,2020,0,0,0,0.52
72,2025,0,0,0,0.48
72,2030,0,0,0,0.45
72,2035,0,0,0,0.41
72,2040,0,0,0,0.38
72,2045,0,0,0,0.37
72,2050,0,0,0,0.37
72,2055,0,0,0,0.38
72,2060,0,0,0,0.4
72,2065,0,0,0,0.42
72,2070,0,0,0,0.44
72,2075,0,0,0,0.47
72,2080,0,0,0,0.5
72,2085,0,0,0,0.52
72,2090,0,0,0,0.55
72,2095,0,0,0,0.57
72,2100,0,0,0,0.6
76,1970,0,0,0,0.85
76,1975,0,0,0,0.79
76,1980,0,0,0,0.72
76,1985,0,0,0,0.69
76,1990,0,0,0,0.66
76,1995,0,0,0,0.6
76,2000,0,0,0,0.54
76,2005,0,0,0,0.51
76,2010,0,0,0,0.48
76,2015,0,0,0,0.45
76,2020,0,0,0,0.43
76,2025,0,0,0,0.44
76,2030,0,0,0,0.45
76,2035,0,0,0,0.47
76,2040,0,0,0,0.49
76,2045,0,0,0,0.53
76,2050,0,0,0,0.58
76,2055,0,0,0,0.64
76,2060,0,0,0,0.69
76,2065,0,0,0,0.77
76,2070,0,0,0,0.85
76,2075,0,0,0,0.92
76,2080,0,0,0,0.99
76,2085,0,0,0,1.06
76,2090,0,0,0,1.13
76,2095,0,0,0,1.2
76,2100,0,0,0,1.25
84,1970,0,0,0,1.06
84,1975,0,0,0,1.08
84,1980,0,0,0,1.05
84,1985,0,0,0,0.96
84,1990,0,0,0,0.92
84,1995,0,0,0,0.91
84,2000,0,0,0,0.83
84,2005,0,0,0,0.74
84,2010,0,0,0,0.64
84,2015,0,0,0,0.58
84,2020,0,0,0,0.56
84,2025,0,0,0,0.58
84,2030,0,0,0,0.59
84,2035,0,0,0,0.58
84,2040,0,0,0,0.57
84,2045,0,0,0,0.57
84,2050,0,0,0,0.58
84,2055,0,0,0,0.6
84,2060,0,0,0,0.62
84,2065,0,0,0,0.63
84,2070,0,0,0,0.63
84,2075,0,0,0,0.62
84,2080,0,0,0,0.62
84,2085,0,0,0,0.63
84,2090,0,0,0,0.64
84,2095,0,0,0,0.65
84,2100,0,0,0,0.66
90,1970,0,0,0,0.9
90,1975,0,0,0,1.04
90,1980,0,0,0,1.02
90,1985,0,0,0,1
90,1990,0,0,0,0.93
90,1995,0,0,0,0.85
90,2000,0,0,0,0.81
90,2005,0,0,0,0.77
90,2010,0,0,0,0.75
90,2015,0,0,0,0.71
90,2020,0,0,0,0.66
90,2025,0,0,0,0.62
90,2030,0,0,0,0.6
90,2035,0,0,0,0.58
90,2040,0,0,0,0.57
90,2045,0,0,0,0.55
90,2050,0,0,0,0.53
90,2055,0,0,0,0.52
90,2060,0,0,0,0.52
90,2065,0,0,0,0.51
90,2070,0,0,0,0.51
90,2075,0,0,0,0.51
90,2080,0,0,0,0.51
90,2085,0,0,0,0.51
90,2090,0,0,0,0.52
90,2095,0,0,0,0.53
90,2100,0,0,0,0.53
96,1970,0,0,0,0.82
96,1975,0,0,0,0.78
96,1980,0,0,0,0.71
96,1985,0,0,0,0.71
96,1990,0,0,0,0.62
96,1995,0,0,0,0.57
96,2000,0,0,0,0.5
96,2005,0,0,0,0.46
96,2010,0,0,0,0.42
96,2015,0,0,0,0.41
96,2020,0,0,0,0.39
96,2025,0,0,0,0.38
96,2030,0,0,0,0.38
96,2035,0,0,0,0.4
96,2040,0,0,0,0.45
96,2045,0,0,0,0.5
96,2050,0,0,0,0.55
96,2055,0,0,0,0.6
96,2060,0,0,0,0.65
96,2065,0,0,0,0.7
96,2070,0,0,0,0.77
96,2075,0,0,0,0.85
96,2080,0,0,0,0.94
96,2085,0,0,0,1.03
96,2090,0,0,0,1.12
96,2095,0,0,0,1.22
96,2100,0,0,0,1.32
100,1970,0,0,0,0.48
100,1975,0,0,0,0.49
100,1980,0,0,0,0.52
100,1985,0,0,0,0.46
100,1990,0,0,0,0.5
100,1995,0,0,0,0.49
100,2000,0,0,0,0.48
100,2005,0,0,0,0.45
100,2010,0,0,0,0.45
100,2015,0,0,0,0.49
100,2020,0,0,0,0.52
100,2025,0,0,0,0.53
100,2030,0,0,0,0.54
100,2035,0,0,0,0.56
100,2040,0,0,0,0.61
100,2045,0,0,0,0.69
100,2050,0,0,0,0.76
100,2055,0,0,0,0.83
100,2060,0,0,0,0.86
100,2065,0,0,0,0.85
100,2070,0,0,0,0.87
100,2075,0,0,0,0.94
100,2080,0,0,0,0.99
100,2085,0,0,0,1.04
