"isono","year","sexno","ageno","eduno","podr"
232,2035,0,0,0,0.04
232,2040,0,0,0,0.054
232,2045,0,0,0,0.067
232,2050,0,0,0,0.074
232,2055,0,0,0,0.08
232,2060,0,0,0,0.084
232,2065,0,0,0,0.086
232,2070,0,0,0,0.092
232,2075,0,0,0,0.101
232,2080,0,0,0,0.111
232,2085,0,0,0,0.119
232,2090,0,0,0,0.124
232,2095,0,0,0,0.127
233,2010,0,0,0,0.144
233,2015,0,0,0,0.14
233,2020,0,0,0,0.14
233,2025,0,0,0,0.144
233,2030,0,0,0,0.149
233,2035,0,0,0,0.152
233,2040,0,0,0,0.153
233,2045,0,0,0,0.153
233,2050,0,0,0,0.155
233,2055,0,0,0,0.159
233,2060,0,0,0,0.166
233,2065,0,0,0,0.178
233,2070,0,0,0,0.178
233,2075,0,0,0,0.167
233,2080,0,0,0,0.153
233,2085,0,0,0,0.146
233,2090,0,0,0,0.148
233,2095,0,0,0,0.151
242,2010,0,0,0,0.056
242,2015,0,0,0,0.062
242,2020,0,0,0,0.068
242,2025,0,0,0,0.078
242,2030,0,0,0,0.089
242,2035,0,0,0,0.098
242,2040,0,0,0,0.103
242,2045,0,0,0,0.108
242,2050,0,0,0,0.115
242,2055,0,0,0,0.125
242,2060,0,0,0,0.133
242,2065,0,0,0,0.139
242,2070,0,0,0,0.144
242,2075,0,0,0,0.146
242,2080,0,0,0,0.149
242,2085,0,0,0,0.155
242,2090,0,0,0,0.163
242,2095,0,0,0,0.166
246,2010,0,0,0,0.109
246,2015,0,0,0,0.108
246,2020,0,0,0,0.116
246,2025,0,0,0,0.132
246,2030,0,0,0,0.14
246,2035,0,0,0,0.142
246,2040,0,0,0,0.141
246,2045,0,0,0,0.138
246,2050,0,0,0,0.13
246,2055,0,0,0,0.123
246,2060,0,0,0,0.12
246,2065,0,0,0,0.119
246,2070,0,0,0,0.117
246,2075,0,0,0,0.119
246,2080,0,0,0,0.12
246,2085,0,0,0,0.118
246,2090,0,0,0,0.115
246,2095,0,0,0,0.113
250,2010,0,0,0,0.106
250,2015,0,0,0,0.102
250,2020,0,0,0,0.099
250,2025,0,0,0,0.107
250,2030,0,0,0,0.115
250,2035,0,0,0,0.121
250,2040,0,0,0,0.126
250,2045,0,0,0,0.128
250,2050,0,0,0,0.128
250,2055,0,0,0,0.128
250,2060,0,0,0,0.123
250,2065,0,0,0,0.12
250,2070,0,0,0,0.119
250,2075,0,0,0,0.119
250,2080,0,0,0,0.118
250,2085,0,0,0,0.116
250,2090,0,0,0,0.115
250,2095,0,0,0,0.116
254,2010,0,0,0,0.031
254,2015,0,0,0,0.034
254,2020,0,0,0,0.037
254,2025,0,0,0,0.045
254,2030,0,0,0,0.052
254,2035,0,0,0,0.057
254,2040,0,0,0,0.063
254,2045,0,0,0,0.07
254,2050,0,0,0,0.074
254,2055,0,0,0,0.074
254,2060,0,0,0,0.075
254,2065,0,0,0,0.078
