"isono","year","sexno","ageno","eduno","etfr"
178,2010,0,0,6,2.55
178,2010,0,0,7,2.22
178,2010,2,0,0,4.34
178,2010,2,0,2,5.76
178,2010,2,0,3,5.25
178,2010,2,0,4,4.46
178,2010,2,0,5,3.31
178,2010,2,0,6,2.55
178,2010,2,0,7,2.22
180,2010,0,0,0,5.97
180,2010,0,0,2,6.77
180,2010,0,0,3,6.7
180,2010,0,0,4,6.71
180,2010,0,0,5,5.19
180,2010,0,0,6,3.62
180,2010,0,0,7,3.26
180,2010,2,0,0,5.97
180,2010,2,0,2,6.77
180,2010,2,0,3,6.7
180,2010,2,0,4,6.71
180,2010,2,0,5,5.19
180,2010,2,0,6,3.62
180,2010,2,0,7,3.26
188,2010,0,0,0,1.74
188,2010,0,0,2,2.11
188,2010,0,0,3,2.11
188,2010,0,0,4,2.11
188,2010,0,0,5,1.6
188,2010,0,0,6,1.34
188,2010,0,0,7,1.06
188,2010,2,0,0,1.74
188,2010,2,0,2,2.11
188,2010,2,0,3,2.11
188,2010,2,0,4,2.11
188,2010,2,0,5,1.6
188,2010,2,0,6,1.34
188,2010,2,0,7,1.06
191,2010,0,0,0,1.33
191,2010,0,0,2,1.62
191,2010,0,0,3,1.62
191,2010,0,0,4,1.62
191,2010,0,0,5,1.62
191,2010,0,0,6,1.32
191,2010,0,0,7,1.15
191,2010,2,0,0,1.33
191,2010,2,0,2,1.62
191,2010,2,0,3,1.62
191,2010,2,0,4,1.62
191,2010,2,0,5,1.62
191,2010,2,0,6,1.32
191,2010,2,0,7,1.15
192,2010,0,0,0,1.38
192,2010,0,0,2,1.97
192,2010,0,0,3,1.97
192,2010,0,0,4,1.97
192,2010,0,0,5,1.5
192,2010,0,0,6,1.25
192,2010,0,0,7,1
192,2010,2,0,0,1.38
192,2010,2,0,2,1.97
192,2010,2,0,3,1.97
192,2010,2,0,4,1.97
192,2010,2,0,5,1.5
192,2010,2,0,6,1.25
192,2010,2,0,7,1
196,2010,0,0,0,1.3
196,2010,0,0,2,1.66
196,2010,0,0,3,1.66
196,2010,0,0,4,1.66
196,2010,0,0,5,1.5
196,2010,0,0,6,1.34
196,2010,0,0,7,1.21
196,2010,2,0,0,1.3
196,2010,2,0,2,1.66
196,2010,2,0,3,1.66
196,2010,2,0,4,1.66
196,2010,2,0,5,1.5
196,2010,2,0,6,1.34
196,2010,2,0,7,1.21
203,2010,0,0,0,1.4
203,2010,0,0,2,1.59
203,2010,0,0,3,1.59
203,2010,0,0,4,1.59
203,2010,0,0,5,1.59
203,2010,0,0,6,1.4
203,2010,0,0,7,1.24
203,2010,2,0,0,1.4
203,2010,2,0,2,1.59
203,2010,2,0,3,1.59
203,2010,2,0,4,1.59
203,2010,2,0,5,1.59
203,2010,2,0,6,1.4
203,2010,2,0,7,1.24
204,2010,0,0,0,5.25
204,2010,0,0,2,6
204,2010,0,0,3,5.07
204,2010,0,0,4,4.12
204,2010,0,0,5,3.35
204,2010,0,0,6,3.27
204,2010,0,0,7,2.84
204,2010,2,0,0,5.25
204,2010,2,0,2,6
204,2010,2,0,3,5.07
204,2010,2,0,4,4.12
204,2010,2,0,5,3.35
204,2010,2,0,6,3.27
204,2010,2,0,7,2.84
208,2010,0,0,0,1.64
208,2010,0,0,2,1.69
208,2010,0,0,3,1.69
208,2010,0,0,4,1.69
208,2010,0,0,5,1.69
208,2010,0,0,6,1.66
208,2010,0,0,7,1.63
208,2010,2,0,0,1.64
208,2010,2,0,2,1.69
208,2010,2,0,3,1.69
208,2010,2,0,4,1.69
208,2010,2,0,5,1.69
208,2010,2,0,6,1.66
208,2010,2,0,7,1.63
214,2010,0,0,0,2.31
214,2010,0,0,2,3.64
214,2010,0,0,3,2.84
214,2010,0,0,4,2.85
214,2010,0,0,5,2.38
214,2010,0,0,6,2.13
214,2010,0,0,7,1.66
214,2010,2,0,0,2.31
214,2010,2,0,2,3.64
214,2010,2,0,3,2.84
214,2010,2,0,4,2.85
214,2010,2,0,5,2.38
214,2010,2,0,6,2.13
214,2010,2,0,7,1.66
218,2010,0,0,0,2.32
218,2010,0,0,2,3.34
218,2010,0,0,3,3.07
218,2010,0,0,4,2.71
218,2010,0,0,5,2.26
218,2010,0,0,6,1.86
218,2010,0,0,7,1.55
218,2010,2,0,0,2.32
218,2010,2,0,2,3.34
218,2010,2,0,3,3.07
218,2010,2,0,4,2.71
218,2010,2,0,5,2.26
218,2010,2,0,6,1.86
218,2010,2,0,7,1.55
222,2010,0,0,0,2.08
222,2010,0,0,2,2.67
222,2010,0,0,3,2.52
222,2010,0,0,4,2.23
222,2010,0,0,5,1.95
222,2010,0,0,6,1.64
222,2010,0,0,7,1.44
222,2010,2,0,0,2.08
222,2010,2,0,2,2.67
222,2010,2,0,3,2.52
222,2010,2,0,4,2.23
222,2010,2,0,5,1.95
222,2010,2,0,6,1.64
222,2010,2,0,7,1.44
226,2010,0,0,0,5.08
226,2010,0,0,2,7.57
226,2010,0,0,3,6.86
226,2010,0,0,4,5.79
226,2010,0,0,5,4.26
226,2010,0,0,6,3.27
226,2010,0,0,7,2.84
226,2010,2,0,0,5.08
226,2010,2,0,2,7.57
226,2010,2,0,3,6.86
226,2010,2,0,4,5.79
226,2010,2,0,5,4.26
226,2010,2,0,6,3.27
226,2010,2,0,7,2.84
231,2010,0,0,0,4.41
231,2010,0,0,2,5.29
231,2010,0,0,3,4.61
231,2010,0,0,4,3.21
231,2010,0,0,5,2.37
231,2010,0,0,6,1.29
231,2010,0,0,7,1.12
231,2010,2,0,0,4.41
231,2010,2,0,2,5.29
231,2010,2,0,3,4.61
231,2010,2,0,4,3.21
231,2010,2,0,5,2.37
231,2010,2,0,6,1.29
231,2010,2,0,7,1.12
232,2010,0,0,0,4.27
232,2010,0,0,2,5.21
232,2010,0,0,3,4.74
232,2010,0,0,4,4.02
232,2010,0,0,5,2.99
232,2010,0,0,6,2.3
232,2010,0,0,7,2
232,2010,2,0,0,4.27
232,2010,2,0,2,5.21
232,2010,2,0,3,4.74
232,2010,2,0,4,4.02
232,2010,2,0,5,2.99
232,2010,2,0,6,2.3
232,2010,2,0,7,2
233,2010,0,0,0,1.47
233,2010,0,0,2,1.8
233,2010,0,0,3,1.8
233,2010,0,0,4,1.8
233,2010,0,0,5,1.8
233,2010,0,0,6,1.55
233,2010,0,0,7,1.23
233,2010,2,0,0,1.47
233,2010,2,0,2,1.8
233,2010,2,0,3,1.8
233,2010,2,0,4,1.8
233,2010,2,0,5,1.8
233,2010,2,0,6,1.55
233,2010,2,0,7,1.23
242,2010,0,0,0,2.34
242,2010,0,0,2,3.42
242,2010,0,0,3,3.01
242,2010,0,0,4,2.68
242,2010,0,0,5,2.34
242,2010,0,0,6,1.97
242,2010,0,0,7,1.73
242,2010,2,0,0,2.34
242,2010,2,0,2,3.42
242,2010,2,0,3,3.01
242,2010,2,0,4,2.68
242,2010,2,0,5,2.34
242,2010,2,0,6,1.97
242,2010,2,0,7,1.73
246,2010,0,0,0,1.75
246,2010,0,0,2,1.73
246,2010,0,0,3,1.73
246,2010,0,0,4,1.73
246,2010,0,0,5,1.73
246,2010,0,0,6,1.77
246,2010,0,0,7,1.72
246,2010,2,0,0,1.75
246,2010,2,0,2,1.73
246,2010,2,0,3,1.73
246,2010,2,0,4,1.73
246,2010,2,0,5,1.73
246,2010,2,0,6,1.77
246,2010,2,0,7,1.72
250,2010,0,0,0,1.91
250,2010,0,0,2,2.33
250,2010,0,0,3,2.33
250,2010,0,0,4,2.33
250,2010,0,0,5,2.33
250,2010,0,0,6,1.84
250,2010,0,0,7,1.8
250,2010,2,0,0,1.91
250,2010,2,0,2,2.33
250,2010,2,0,3,2.33
250,2010,2,0,4,2.33
250,2010,2,0,5,2.33
250,2010,2,0,6,1.84
250,2010,2,0,7,1.8
254,2010,0,0,0,3.02
