"isono","year","sexno","ageno","eduno","e0"
50,2055,1,0,0,79.5
50,2060,1,0,0,80.7
50,2065,1,0,0,82
50,2070,1,0,0,83
50,2075,1,0,0,84.1
50,2080,1,0,0,85.2
50,2085,1,0,0,86.3
50,2090,1,0,0,87.4
50,2095,1,0,0,88.4
50,2010,2,0,0,70.6
50,2015,2,0,0,72.4
50,2020,2,0,0,74
50,2025,2,0,0,75.5
50,2030,2,0,0,76.9
50,2035,2,0,0,78.1
50,2040,2,0,0,79.3
50,2045,2,0,0,80.5
50,2050,2,0,0,81.6
50,2055,2,0,0,82.7
50,2060,2,0,0,83.8
50,2065,2,0,0,85
50,2070,2,0,0,86.1
50,2075,2,0,0,87.2
50,2080,2,0,0,88.3
50,2085,2,0,0,89.5
50,2090,2,0,0,90.5
50,2095,2,0,0,91.6
50,2010,0,0,0,69.7
50,2015,0,0,0,71.3
50,2020,0,0,0,72.8
50,2025,0,0,0,74.2
50,2030,0,0,0,75.4
50,2035,0,0,0,76.6
50,2040,0,0,0,77.6
50,2045,0,0,0,78.8
50,2050,0,0,0,80
50,2055,0,0,0,81.1
50,2060,0,0,0,82.3
50,2065,0,0,0,83.5
50,2070,0,0,0,84.6
50,2075,0,0,0,85.7
50,2080,0,0,0,86.8
50,2085,0,0,0,87.9
50,2090,0,0,0,88.9
50,2095,0,0,0,90
51,2010,1,0,0,71.1
51,2015,1,0,0,72
51,2020,1,0,0,73.1
51,2025,1,0,0,74.2
51,2030,1,0,0,75.3
51,2035,1,0,0,76.3
51,2040,1,0,0,77.4
51,2045,1,0,0,78.5
51,2050,1,0,0,79.6
51,2055,1,0,0,80.7
51,2060,1,0,0,81.8
51,2065,1,0,0,82.8
51,2070,1,0,0,83.8
51,2075,1,0,0,84.9
51,2080,1,0,0,85.9
51,2085,1,0,0,87
51,2090,1,0,0,88
51,2095,1,0,0,89.1
51,2010,2,0,0,77.6
51,2015,2,0,0,78.3
51,2020,2,0,0,79.2
51,2025,2,0,0,80.1
51,2030,2,0,0,81.1
51,2035,2,0,0,82
51,2040,2,0,0,82.9
51,2045,2,0,0,83.9
51,2050,2,0,0,84.9
51,2055,2,0,0,86
51,2060,2,0,0,87
51,2065,2,0,0,88
51,2070,2,0,0,89
51,2075,2,0,0,90
51,2080,2,0,0,91
51,2085,2,0,0,92
51,2090,2,0,0,93.1
51,2095,2,0,0,94.1
51,2010,0,0,0,74.6
51,2015,0,0,0,75.5
51,2020,0,0,0,76.5
51,2025,0,0,0,77.5
51,2030,0,0,0,78.5
51,2035,0,0,0,79.5
51,2040,0,0,0,80.5
51,2045,0,0,0,81.5
51,2050,0,0,0,82.5
51,2055,0,0,0,83.6
51,2060,0,0,0,84.5
51,2065,0,0,0,85.5
51,2070,0,0,0,86.5
51,2075,0,0,0,87.4
51,2080,0,0,0,88.4
51,2085,0,0,0,89.5
51,2090,0,0,0,90.5
51,2095,0,0,0,91.5
52,2010,1,0,0,74.8
52,2015,1,0,0,76.3
52,2020,1,0,0,77.6
52,2025,1,0,0,78.8
52,2030,1,0,0,79.9
52,2035,1,0,0,81
52,2040,1,0,0,82.1
52,2045,1,0,0,83.2
52,2050,1,0,0,84.3
52,2055,1,0,0,85.5
52,2060,1,0,0,86.6
52,2065,1,0,0,87.8
52,2070,1,0,0,88.9
52,2075,1,0,0,90
52,2080,1,0,0,91
52,2085,1,0,0,92
52,2090,1,0,0,93
52,2095,1,0,0,94.1
52,2010,2,0,0,81.2
52,2015,2,0,0,82.5
52,2020,2,0,0,83.7
52,2025,2,0,0,84.9
52,2030,2,0,0,85.8
52,2035,2,0,0,86.9
52,2040,2,0,0,87.8
52,2045,2,0,0,88.8
52,2050,2,0,0,89.8
52,2055,2,0,0,90.8
52,2060,2,0,0,91.9
52,2065,2,0,0,93
52,2070,2,0,0,94.1
52,2075,2,0,0,95.2
52,2080,2,0,0,96.2
52,2085,2,0,0,97.2
52,2090,2,0,0,98.2
52,2095,2,0,0,99.2
52,2010,0,0,0,78.1
52,2015,0,0,0,79.5
52,2020,0,0,0,80.8
52,2025,0,0,0,81.9
52,2030,0,0,0,82.9
52,2035,0,0,0,84
52,2040,0,0,0,85
52,2045,0,0,0,86
52,2050,0,0,0,87.1
52,2055,0,0,0,88.2
52,2060,0,0,0,89.3
52,2065,0,0,0,90.4
52,2070,0,0,0,91.5
52,2075,0,0,0,92.6
52,2080,0,0,0,93.6
52,2085,0,0,0,94.6
52,2090,0,0,0,95.6
52,2095,0,0,0,96.7
56,2010,1,0,0,78.2
56,2015,1,0,0,79.4
56,2020,1,0,0,80.6
56,2025,1,0,0,81.7
56,2030,1,0,0,82.7
56,2035,1,0,0,83.8
56,2040,1,0,0,84.8
56,2045,1,0,0,85.8
56,2050,1,0,0,86.8
56,2055,1,0,0,87.8
56,2060,1,0,0,88.8
56,2065,1,0,0,89.8
56,2070,1,0,0,90.9
56,2075,1,0,0,91.9
56,2080,1,0,0,92.9
56,2085,1,0,0,93.9
56,2090,1,0,0,94.9
56,2095,1,0,0,95.9
56,2010,2,0,0,83.9
56,2015,2,0,0,85
56,2020,2,0,0,86.1
56,2025,2,0,0,87.2
56,2030,2,0,0,88.1
56,2035,2,0,0,89.2
56,2040,2,0,0,90.1
56,2045,2,0,0,91.1
56,2050,2,0,0,92.1
56,2055,2,0,0,93
56,2060,2,0,0,94
56,2065,2,0,0,95.1
56,2070,2,0,0,96.1
56,2075,2,0,0,97.1
56,2080,2,0,0,98.1
56,2085,2,0,0,99.1
56,2090,2,0,0,100.1
56,2095,2,0,0,101.1
56,2010,0,0,0,81.1
56,2015,0,0,0,82.2
56,2020,0,0,0,83.4
56,2025,0,0,0,84.5
56,2030,0,0,0,85.4
56,2035,0,0,0,86.5
