"isono","year","sexno","ageno","eduno","odr"
188,2040,0,0,0,0.26
188,2045,0,0,0,0.29
188,2050,0,0,0,0.33
188,2055,0,0,0,0.38
188,2060,0,0,0,0.43
188,2065,0,0,0,0.47
188,2070,0,0,0,0.5
188,2075,0,0,0,0.52
188,2080,0,0,0,0.55
188,2085,0,0,0,0.58
188,2090,0,0,0,0.61
188,2095,0,0,0,0.64
188,2100,0,0,0,0.67
191,1970,0,0,0,0.14
191,1975,0,0,0,0.16
191,1980,0,0,0,0.17
191,1985,0,0,0,0.13
191,1990,0,0,0,0.17
191,1995,0,0,0,0.2
191,2000,0,0,0,0.23
191,2005,0,0,0,0.25
191,2010,0,0,0,0.25
191,2015,0,0,0,0.28
191,2020,0,0,0,0.31
191,2025,0,0,0,0.35
191,2030,0,0,0,0.39
191,2035,0,0,0,0.42
191,2040,0,0,0,0.46
191,2045,0,0,0,0.5
191,2050,0,0,0,0.55
191,2055,0,0,0,0.59
191,2060,0,0,0,0.62
191,2065,0,0,0,0.65
191,2070,0,0,0,0.66
191,2075,0,0,0,0.68
191,2080,0,0,0,0.7
191,2085,0,0,0,0.72
191,2090,0,0,0,0.75
191,2095,0,0,0,0.78
191,2100,0,0,0,0.81
192,1970,0,0,0,0.1
192,1975,0,0,0,0.12
192,1980,0,0,0,0.13
192,1985,0,0,0,0.11
192,1990,0,0,0,0.13
192,1995,0,0,0,0.13
192,2000,0,0,0,0.14
192,2005,0,0,0,0.16
192,2010,0,0,0,0.18
192,2015,0,0,0,0.2
192,2020,0,0,0,0.24
192,2025,0,0,0,0.28
192,2030,0,0,0,0.38
192,2035,0,0,0,0.49
192,2040,0,0,0,0.61
192,2045,0,0,0,0.66
192,2050,0,0,0,0.7
192,2055,0,0,0,0.78
192,2060,0,0,0,0.83
192,2065,0,0,0,0.88
192,2070,0,0,0,0.92
192,2075,0,0,0,0.94
192,2080,0,0,0,0.96
192,2085,0,0,0,0.98
192,2090,0,0,0,1.01
192,2095,0,0,0,1.02
192,2100,0,0,0,1.03
196,1970,0,0,0,0.17
196,1975,0,0,0,0.15
196,1980,0,0,0,0.14
196,1985,0,0,0,0.12
196,1990,0,0,0,0.15
196,1995,0,0,0,0.16
196,2000,0,0,0,0.15
196,2005,0,0,0,0.15
196,2010,0,0,0,0.16
196,2015,0,0,0,0.18
196,2020,0,0,0,0.2
196,2025,0,0,0,0.23
196,2030,0,0,0,0.26
