"isono","year","sexno","ageno","eduno","bmys"
716,2090,2,0,0,13.3
716,2095,0,0,0,13.5
716,2095,1,0,0,13.4
716,2095,2,0,0,13.5
716,2100,0,0,0,13.6
716,2100,1,0,0,13.6
716,2100,2,0,0,13.7
724,1970,0,0,0,3.2
724,1970,1,0,0,3.6
724,1970,2,0,0,2.9
724,1975,0,0,0,3.6
724,1975,1,0,0,3.9
724,1975,2,0,0,3.3
724,1980,0,0,0,4.1
724,1980,1,0,0,4.4
724,1980,2,0,0,3.9
724,1985,0,0,0,4.9
724,1985,1,0,0,5.1
724,1985,2,0,0,4.7
724,1990,0,0,0,5.5
724,1990,1,0,0,5.7
724,1990,2,0,0,5.3
724,1995,0,0,0,6.4
724,1995,1,0,0,6.5
724,1995,2,0,0,6.2
724,2000,0,0,0,6.9
724,2000,1,0,0,7
724,2000,2,0,0,6.8
724,2005,0,0,0,7.5
724,2005,1,0,0,7.5
724,2005,2,0,0,7.4
724,2010,0,0,0,7.8
724,2010,1,0,0,7.9
724,2010,2,0,0,7.8
724,2015,0,0,0,8.3
724,2015,1,0,0,8.3
724,2015,2,0,0,8.3
724,2020,0,0,0,8.8
724,2020,1,0,0,8.7
724,2020,2,0,0,8.8
724,2025,0,0,0,9.3
724,2025,1,0,0,9.2
724,2025,2,0,0,9.4
724,2030,0,0,0,9.8
724,2030,1,0,0,9.6
724,2030,2,0,0,9.9
724,2035,0,0,0,10.1
724,2035,1,0,0,10
724,2035,2,0,0,10.3
724,2040,0,0,0,10.4
724,2040,1,0,0,10.3
724,2040,2,0,0,10.6
724,2045,0,0,0,10.7
724,2045,1,0,0,10.5
724,2045,2,0,0,10.9
724,2050,0,0,0,11
724,2050,1,0,0,10.8
724,2050,2,0,0,11.1
724,2055,0,0,0,11.3
724,2055,1,0,0,11.1
724,2055,2,0,0,11.4
724,2060,0,0,0,11.6
724,2060,1,0,0,11.4
724,2060,2,0,0,11.7
724,2065,0,0,0,11.8
724,2065,1,0,0,11.7
724,2065,2,0,0,12
724,2070,0,0,0,12
724,2070,1,0,0,11.9
724,2070,2,0,0,12.2
724,2075,0,0,0,12.2
724,2075,1,0,0,12.1
724,2075,2,0,0,12.4
724,2080,0,0,0,12.4
724,2080,1,0,0,12.3
724,2080,2,0,0,12.6
724,2085,0,0,0,12.6
724,2085,1,0,0,12.5
724,2085,2,0,0,12.7
